iter	active_frac	mean_abs_z	std_abs_z	mean_zr	mean_zi	esc_frac	driver	prime
0	0.240000	1.677042	0.265800	1.598744	-0.005867	0.760000	1.000000	0
1	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1
2	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.500000	1
3	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.500000	0
4	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.333333	1
5	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.333333	0
6	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.250000	1
7	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.250000	0
8	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.250000	0
9	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.250000	0
10	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.200000	1
11	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.200000	0
12	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.166667	1
13	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.166667	0
14	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.166667	0
15	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.166667	0
16	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.142857	1
17	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.142857	0
18	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.125000	1
19	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.125000	0
20	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.125000	0
21	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.125000	0
22	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.111111	1
23	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.111111	0
24	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.111111	0
25	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.111111	0
26	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.111111	0
27	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.111111	0
28	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.100000	1
29	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.100000	0
30	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.090909	1
31	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.090909	0
