evaluation_id,run_id,step,candidate_id,cr,ci,model_id,driver,degree,channel,alpha,max_iter,score,pearson01,spearman01,mae01,gradient01,spectral01,autocorrelation01,entropy,anisotropy,quantization_index,compression_ratio,escaped_fraction,runtime_ms,accepted,is_best,seed,timestamp,metrics_json
1,run_1789774700_9014,0,1,-0.7,0.27015,V1_INV_PI,V1_INV_PI,2,0,1.0,200,0.76575,0.758918,0.820369,0.680762,0.549548,0.793925,0.995532,0.233268,0.013381,0.351111,0.076667,0.651111,4.6,0,0,,2026-09-19T02:38:20,
2,run_1789774700_1967,0,1,-0.7,0.27015,V0_NONE,V0_NONE,2,0,1.0,200,0.558934,0.432094,0.579786,0.563679,0.426128,0.437142,0.999333,0.407061,0.018356,0.233333,0.418889,0.886667,4.2,0,0,,2026-09-19T02:38:45,
3,run_1789774700_1967,0,2,-0.6799999999999999,0.27015,V1_INV_PI,V1,2,0,1.0,200,0.54979,0.427805,0.585247,0.5189,0.408659,0.439996,0.999454,0.239422,0.018411,0.252222,0.132222,0.747778,4.5,0,1,,2026-09-19T02:38:45,
4,run_1789774700_1967,0,3,-0.72,0.27015,V1_INV_PI,V1,2,0,1.0,200,0.576417,0.450799,0.574313,0.624527,0.44836,0.447543,0.996705,0.394346,0.034423,0.234444,0.412222,0.995556,4.1,0,1,,2026-09-19T02:38:45,
5,run_1789774700_1967,0,4,-0.7,0.29015,V1_INV_PI,V1,2,0,1.0,200,0.569391,0.444781,0.581449,0.582171,0.449761,0.44356,0.9977,0.406274,0.040053,0.233333,0.436667,0.913333,4.4,0,0,,2026-09-19T02:38:45,
6,run_1789774700_1967,0,5,-0.7,0.25015,V1_INV_PI,V1,2,0,1.0,200,0.546956,0.425229,0.579639,0.520297,0.403875,0.435031,0.998817,0.254245,0.016744,0.244444,0.152222,0.755556,4.6,0,0,,2026-09-19T02:38:45,
7,run_1789774700_1967,0,6,-0.685857864376269,0.28429213562373096,V1_INV_PI,V1,2,0,1.0,200,0.548145,0.424036,0.582887,0.52291,0.408393,0.434306,0.999075,0.255085,0.034529,0.233333,0.132222,0.766667,4.2,0,0,,2026-09-19T02:38:45,
8,run_1789774700_1967,0,7,-0.685857864376269,0.25600786437626905,V1_INV_PI,V1,2,0,1.0,200,0.550138,0.430704,0.5849,0.517674,0.40217,0.445514,0.999487,0.234999,0.015599,0.261111,0.118889,0.738889,4.7,0,0,,2026-09-19T02:38:45,
9,run_1789774700_1967,0,8,-0.7141421356237309,0.28429213562373096,V1_INV_PI,V1,2,0,1.0,200,0.569009,0.438203,0.575829,0.606938,0.448833,0.43292,0.998532,0.421013,0.012984,0.237778,0.443333,0.983333,3.8,0,0,,2026-09-19T02:38:45,
10,run_1789774700_1967,0,9,-0.7141421356237309,0.25600786437626905,V1_INV_PI,V1,2,0,1.0,200,0.570044,0.438984,0.576018,0.617319,0.441392,0.437327,0.996595,0.435775,0.009451,0.232222,0.452222,0.992222,3.9,0,0,,2026-09-19T02:38:45,
11,run_1789774700_1967,0,10,-0.6887426304011068,0.2504729508525964,V1_INV_PI,V1,2,0,1.0,200,0.549721,0.430392,0.584016,0.517387,0.401733,0.444941,0.999408,0.238757,0.021529,0.261111,0.11,0.738889,4.1,0,0,,2026-09-19T02:38:45,
12,run_1789774700_1967,1,11,-0.697,0.27015,V1_INV_PI,V1,2,0,1.0,200,0.561495,0.438901,0.583151,0.551656,0.428267,0.449427,0.999297,0.369123,0.035405,0.234444,0.347778,0.844444,5.2,0,0,,2026-09-19T02:38:45,
13,run_1789774700_1967,1,12,-0.743,0.27015,V1_INV_PI,V1,2,0,1.0,200,0.573536,0.446967,0.571907,0.623599,0.438169,0.448604,0.996348,0.296712,0.034665,0.234444,0.218889,1.0,3.8,0,0,,2026-09-19T02:38:45,
14,run_1789774700_1967,1,13,-0.72,0.29315,V1_INV_PI,V1,2,0,1.0,200,0.567529,0.433354,0.574737,0.623239,0.440051,0.42696,0.996281,0.365261,0.031516,0.236667,0.405556,0.997778,4.2,0,0,,2026-09-19T02:38:45,
15,run_1789774700_1967,1,14,-0.72,0.24715,V1_INV_PI,V1,2,0,1.0,200,0.565026,0.433865,0.57361,0.60698,0.433096,0.431788,0.99826,0.442078,0.015021,0.233333,0.467778,0.978889,3.9,0,0,,2026-09-19T02:38:45,
16,run_1789774700_1967,1,15,-0.7037365440327094,0.2864134559672906,V1_INV_PI,V1,2,0,1.0,200,0.568752,0.445469,0.580913,0.572921,0.451382,0.445791,0.998225,0.380196,0.0132,0.235556,0.394444,0.887778,4.6,0,0,,2026-09-19T02:38:45,
17,run_1789774700_1967,1,16,-0.7037365440327094,0.2538865440327094,V1_INV_PI,V1,2,0,1.0,200,0.557193,0.434333,0.579696,0.550261,0.418421,0.443462,0.998893,0.368806,0.01685,0.233333,0.343333,0.842222,4.6,0,0,,2026-09-19T02:38:45,
18,run_1789774700_1967,1,17,-0.7362634559672906,0.2864134559672906,V1_INV_PI,V1,2,0,1.0,200,0.57067,0.440088,0.571196,0.624202,0.443343,0.434898,0.997352,0.311762,0.068409,0.235556,0.301111,1.0,5.2,0,0,,2026-09-19T02:38:45,
19,run_1789774700_1967,1,18,-0.7362634559672906,0.2538865440327094,V1_INV_PI,V1,2,0,1.0,200,0.572317,0.443621,0.571545,0.625396,0.443709,0.439478,0.995953,0.347876,0.037189,0.233333,0.325556,1.0,5.2,0,0,,2026-09-19T02:38:45,
20,run_1789774700_1967,1,19,-0.7057790609377108,0.28564757043825717,V1_INV_PI,V1,2,0,1.0,200,0.569596,0.444695,0.579877,0.587843,0.449502,0.442357,0.996571,0.417578,0.020312,0.235556,0.452222,0.933333,5.4,0,0,,2026-09-19T02:38:45,
21,run_1789774700_1967,2,20,-0.7085,0.27015,V1_INV_PI,V1,2,0,1.0,200,0.56634,0.437521,0.577063,0.597699,0.442445,0.431693,0.997495,0.437856,0.002816,0.233333,0.487778,0.961111,4.2,0,0,,2026-09-19T02:38:45,
22,run_1789774700_1967,2,21,-0.7314999999999999,0.27015,V1_INV_PI,V1,2,0,1.0,200,0.574194,0.44717,0.5733,0.62498,0.443639,0.445899,0.994859,0.344243,0.030361,0.235556,0.285556,1.0,3.8,0,0,,2026-09-19T02:38:45,
23,run_1789774700_1967,2,22,-0.72,0.28165,V1_INV_PI,V1,2,0,1.0,200,0.570013,0.440931,0.573803,0.618025,0.448663,0.428971,0.99574,0.402475,0.034212,0.236667,0.407778,0.993333,4.0,0,0,,2026-09-19T02:38:45,
24,run_1789774700_1967,2,23,-0.72,0.25865,V1_INV_PI,V1,2,0,1.0,200,0.569576,0.435799,0.574895,0.622918,0.446142,0.430993,0.995894,0.403146,0.035294,0.232222,0.416667,1.0,4.0,0,0,,2026-09-19T02:38:45,
25,run_1789774700_1967,2,24,-0.7118682720163547,0.2782817279836453,V1_INV_PI,V1,2,0,1.0,200,0.566978,0.437913,0.575386,0.60504,0.431533,0.43964,0.9984,0.428308,0.023492,0.233333,0.452222,0.976667,4.2,0,0,,2026-09-19T02:38:45,
26,run_1789774700_1967,2,25,-0.7118682720163547,0.2620182720163547,V1_INV_PI,V1,2,0,1.0,200,0.570667,0.438946,0.57689,0.619999,0.445842,0.433158,0.996979,0.431496,0.02408,0.232222,0.458889,0.993333,4.0,0,0,,2026-09-19T02:38:45,
27,run_1789774700_1967,2,26,-0.7281317279836452,0.2782817279836453,V1_INV_PI,V1,2,0,1.0,200,0.570495,0.441035,0.572513,0.622614,0.444916,0.43116,0.997038,0.366373,0.017391,0.235556,0.365556,0.996667,5.3,0,0,,2026-09-19T02:38:45,
28,run_1789774700_1967,2,27,-0.7281317279836452,0.2620182720163547,V1_INV_PI,V1,2,0,1.0,200,0.574406,0.446461,0.573516,0.626724,0.447765,0.443086,0.994183,0.37064,0.014279,0.233333,0.383333,1.0,3.9,0,0,,2026-09-19T02:38:45,
29,run_1789774700_1967,2,28,-0.7295259369789101,0.2604131536417793,V1_INV_PI,V1,2,0,1.0,200,0.574167,0.445985,0.574213,0.62664,0.440744,0.446656,0.996215,0.366147,0.02142,0.233333,0.358889,1.0,4.2,0,0,,2026-09-19T02:38:45,
30,run_1789774700_1967,3,29,-0.7142499999999999,0.27015,V1_INV_PI,V1,2,0,1.0,200,0.572183,0.441205,0.574861,0.623902,0.443822,0.438576,0.998051,0.411701,0.016959,0.234444,0.436667,0.997778,4.1,0,0,,2026-09-19T02:38:46,
31,run_1789774700_1967,3,30,-0.72575,0.27015,V1_INV_PI,V1,2,0,1.0,200,0.573036,0.442909,0.574177,0.62597,0.449918,0.4364,0.995594,0.364779,0.038665,0.233333,0.376667,0.998889,4.1,0,0,,2026-09-19T02:38:46,
32,run_1789774700_1967,3,31,-0.72,0.2759,V1_INV_PI,V1,2,0,1.0,200,0.561707,0.425769,0.571903,0.617872,0.436431,0.411761,0.997129,0.395176,0.00585,0.234444,0.427778,0.994444,3.9,0,0,,2026-09-19T02:38:46,
33,run_1789774700_1967,3,32,-0.72,0.2644,V1_INV_PI,V1,2,0,1.0,200,0.571507,0.43908,0.574096,0.625454,0.453499,0.42982,0.995379,0.389895,0.028908,0.233333,0.412222,1.0,4.0,0,0,,2026-09-19T02:38:46,
34,run_1789774700_1967,3,33,-0.7159341360081773,0.27421586399182263,V1_INV_PI,V1,2,0,1.0,200,0.565253,0.429691,0.57314,0.617969,0.438768,0.423587,0.998737,0.408637,0.013984,0.234444,0.436667,0.995556,3.8,0,0,,2026-09-19T02:38:46,
35,run_1789774700_1967,3,34,-0.7159341360081773,0.2660841360081774,V1_INV_PI,V1,2,0,1.0,200,0.565497,0.431526,0.573728,0.618318,0.440219,0.421654,0.996848,0.410947,0.017447,0.233333,0.416667,0.996667,4.5,0,0,,2026-09-19T02:38:46,
36,run_1789774700_1967,3,35,-0.7240658639918226,0.27421586399182263,V1_INV_PI,V1,2,0,1.0,200,0.57058,0.440259,0.573029,0.621521,0.445551,0.433555,0.996444,0.378712,0.022735,0.233333,0.378889,0.997778,4.4,0,0,,2026-09-19T02:38:46,
37,run_1789774700_1967,3,36,-0.7240658639918226,0.2660841360081774,V1_INV_PI,V1,2,0,1.0,200,0.574085,0.444376,0.573646,0.625605,0.449403,0.44089,0.997065,0.371244,0.012561,0.234444,0.383333,1.0,4.0,0,0,,2026-09-19T02:38:46,
38,run_1789774700_1967,3,37,-0.7205885752678237,0.26529434066166035,V1_INV_PI,V1,2,0,1.0,200,0.567456,0.432481,0.573518,0.623388,0.444866,0.423765,0.996699,0.389448,0.02892,0.233333,0.403333,1.0,3.8,0,0,,2026-09-19T02:38:46,
39,run_1789774700_1967,4,38,-0.717125,0.27015,V1_INV_PI,V1,2,0,1.0,200,0.565643,0.432619,0.573035,0.620606,0.440351,0.419865,0.996064,0.395689,0.016582,0.234444,0.412222,0.996667,4.1,0,0,,2026-09-19T02:38:46,
40,run_1789774700_1967,4,39,-0.7228749999999999,0.27015,V1_INV_PI,V1,2,0,1.0,200,0.570731,0.439377,0.573395,0.625092,0.447206,0.430929,0.995957,0.37478,0.024473,0.233333,0.387778,0.998889,4.1,0,0,,2026-09-19T02:38:46,
41,run_1789774700_1967,4,40,-0.72,0.273025,V1_INV_PI,V1,2,0,1.0,200,0.564715,0.430318,0.572412,0.618668,0.442254,0.417492,0.99674,0.40086,0.010259,0.234444,0.418889,1.0,3.8,0,0,,2026-09-19T02:38:46,
42,run_1789774700_1967,4,41,-0.72,0.267275,V1_INV_PI,V1,2,0,1.0,200,0.570366,0.438281,0.573581,0.624933,0.445381,0.430759,0.997319,0.383065,0.027781,0.233333,0.405556,1.0,4.1,0,0,,2026-09-19T02:38:46,
43,run_1789774700_1967,4,42,-0.7179670680040886,0.2721829319959113,V1_INV_PI,V1,2,0,1.0,200,0.564384,0.42862,0.572884,0.620334,0.445338,0.412125,0.997513,0.402245,0.021521,0.234444,0.416667,0.997778,3.8,0,0,,2026-09-19T02:38:46,
44,run_1789774700_1967,4,43,-0.7179670680040886,0.2681170680040887,V1_INV_PI,V1,2,0,1.0,200,0.572576,0.442544,0.573615,0.62637,0.444195,0.437744,0.997676,0.392251,0.01913,0.235556,0.396667,1.0,3.9,0,0,,2026-09-19T02:38:46,
45,run_1789774700_1967,4,44,-0.7220329319959113,0.2721829319959113,V1_INV_PI,V1,2,0,1.0,200,0.568706,0.435578,0.573481,0.623911,0.440668,0.429522,0.997825,0.382296,0.028813,0.234444,0.414444,1.0,3.8,0,0,,2026-09-19T02:38:46,
46,run_1789774700_1967,4,45,-0.7220329319959113,0.2681170680040887,V1_INV_PI,V1,2,0,1.0,200,0.572139,0.44071,0.573865,0.624951,0.4474,0.436255,0.997274,0.380239,0.011692,0.234444,0.394444,1.0,3.9,0,0,,2026-09-19T02:38:46,
47,run_1789774700_1967,4,46,-0.7225503205278162,0.2680034863256916,V1_INV_PI,V1,2,0,1.0,200,0.574844,0.447054,0.574218,0.624473,0.456946,0.437412,0.994154,0.377586,0.018852,0.234444,0.39,0.998889,3.8,0,0,,2026-09-19T02:38:46,
48,run_1789774700_1967,5,47,-0.7185625,0.27015,V1_INV_PI,V1,2,0,1.0,200,0.57057,0.440261,0.574219,0.623937,0.440387,0.435931,0.995559,0.391886,0.020603,0.234444,0.407778,0.997778,4.0,0,0,,2026-09-19T02:38:46,
49,run_1789774700_1967,5,48,-0.7214375,0.27015,V1_INV_PI,V1,2,0,1.0,200,0.571553,0.441797,0.573927,0.625862,0.438456,0.440204,0.995575,0.378866,0.046279,0.233333,0.405556,1.0,4.4,0,0,,2026-09-19T02:38:46,
50,run_1789774700_1967,5,49,-0.72,0.2715875,V1_INV_PI,V1,2,0,1.0,200,0.56521,0.43212,0.572856,0.619907,0.438584,0.420131,0.996392,0.392944,0.051875,0.234444,0.401111,0.997778,3.8,0,0,,2026-09-19T02:38:46,
51,run_1789774700_1967,5,50,-0.72,0.2687125,V1_INV_PI,V1,2,0,1.0,200,0.573478,0.444925,0.573601,0.624278,0.45062,0.437567,0.995581,0.387462,0.017784,0.234444,0.41,1.0,4.7,0,0,,2026-09-19T02:38:46,
52,run_1789774700_1967,5,51,-0.7189835340020443,0.2711664659979557,V1_INV_PI,V1,2,0,1.0,200,0.567353,0.433103,0.573325,0.621291,0.447513,0.421045,0.997344,0.393758,0.033782,0.234444,0.398889,0.998889,3.8,0,0,,2026-09-19T02:38:46,
53,run_1789774700_1967,5,52,-0.7189835340020443,0.2691335340020443,V1_INV_PI,V1,2,0,1.0,200,0.568097,0.435101,0.572892,0.622043,0.441613,0.428486,0.99711,0.389521,0.005045,0.235556,0.412222,0.998889,3.8,0,0,,2026-09-19T02:38:46,
54,run_1789774700_1967,5,53,-0.7210164659979557,0.2711664659979557,V1_INV_PI,V1,2,0,1.0,200,0.572717,0.444339,0.574418,0.624893,0.441811,0.440407,0.996021,0.384847,0.056135,0.234444,0.398889,1.0,3.8,0,0,,2026-09-19T02:38:46,
55,run_1789774700_1967,5,54,-0.7210164659979557,0.2691335340020443,V1_INV_PI,V1,2,0,1.0,200,0.576009,0.449115,0.574785,0.627234,0.446203,0.44774,0.995575,0.382892,0.021182,0.234444,0.412222,1.0,4.0,0,0,,2026-09-19T02:38:46,
56,run_1789774700_1967,5,55,-0.7204219304632696,0.2707448912389934,V1_INV_PI,V1,2,0,1.0,200,0.577163,0.450325,0.574895,0.626006,0.450982,0.447397,0.99793,0.384488,0.036739,0.234444,0.407778,0.998889,3.8,0,1,,2026-09-19T02:38:46,
57,run_1789774700_1967,6,56,-0.7187688054632696,0.2707448912389934,V1_INV_PI,V1,2,0,1.0,200,0.570272,0.438934,0.573851,0.623671,0.442799,0.433146,0.996787,0.390602,0.02445,0.234444,0.401111,0.998889,4.2,0,0,,2026-09-19T02:38:46,
58,run_1789774700_1967,6,57,-0.7220750554632697,0.2707448912389934,V1_INV_PI,V1,2,0,1.0,200,0.574093,0.444869,0.574121,0.624141,0.454736,0.437357,0.995483,0.382031,0.055473,0.233333,0.396667,0.998889,3.8,0,0,,2026-09-19T02:38:46,
